feature,coefficient,class_supported
reuters,16.08082655594993,Real
said,6.339008593609963,Real
washington,2.8353355127219433,Real
nov,2.3930395346050886,Real
wednesday,2.371416082569282,Real
thursday,2.187168866582049,Real
republican,2.1720752791616666,Real
tuesday,1.966146794037027,Real
factbox,1.7087957385553931,Real
comment,1.6483038782523556,Real
edt,1.5474517665395615,Real
friday,1.5413504267259595,Real
democratic,1.4952091056311085,Real
presidential,1.4785812325792362,Real
monday,1.390809821073123,Real
rival,1.3843279648103568,Real
london,1.3805649281844188,Real
showed,1.3288688428021165,Real
saying,1.26829845974402,Real
spokesman,1.2675840011624877,Real
read,-4.180881078413979,Fake
video,-3.92670495149649,Fake
featured,-3.7113792486096986,Fake
image,-3.589228417338794,Fake
just,-3.458590339744263,Fake
gop,-3.440672202513021,Fake
getty,-3.0202871937937545,Fake
breaking,-2.7504662951203196,Fake
com,-2.406279017898283,Fake
hillary,-2.3309248232952693,Fake
watch,-2.1638127199998496,Fake
images,-2.1042161042740615,Fake
sen,-2.101092660000705,Fake
mr,-2.0057112377451984,Fake
rep,-1.9313747008185032,Fake
pic,-1.848128376566893,Fake
21st,-1.7477575346218022,Fake
reportedly,-1.675327072797258,Fake
wire,-1.6703871278098494,Fake
terror,-1.6644118188479664,Fake
